trial_number,status,map50,map50_95,precision,recall,error_type,hp_imgsz,hp_batch,hp_optimizer,hp_lr0,hp_momentum,hp_weight_decay,hp_warmup_epochs,hp_warmup_momentum,hp_warmup_bias_lr,hp_mosaic,hp_mixup,hp_epochs,hp_device,hp_val,hp_patience,hp_save,hp_plots,hp_cache,hp_workers,hp_close_mosaic,hp_verbose,best_trial
35,completed,0.5449649682606236,0.3044619771647196,0.6419955412520351,0.49655027416445535,,768,16,SGD,0.0019390554976965932,0.9681501671201503,0.0008354607262139411,3,0.8967477252448028,0.05355036993962625,0.9433515421595815,0.08447022631842607,10,cuda,True,20,True,True,False,4,10,True,False
31,completed,0.5447651072056401,0.30472345206511986,0.6562896849760377,0.49969915133164966,,768,16,SGD,0.0007402121005840043,0.9676314366175349,0.00027526527855400973,3,0.919526285677777,0.07639577582570085,0.9601204217024863,0.1334378546374634,10,cuda,True,20,True,True,False,4,10,True,False
6,completed,0.5417457601341787,0.2968691425536479,0.6025156208924907,0.4895099124367718,,640,32,SGD,0.00012822825454807568,0.8873178786058794,4.4706085467784903e-05,2,0.7869008621098459,0.08872127425763265,0.7361074625809747,0.02391884918766034,10,cuda,True,20,True,True,False,4,10,True,False
19,completed,0.5413705172815562,0.2964239539378692,0.7025558717963896,0.4873102357429441,,640,32,SGD,0.0004061046457250603,0.9321793030236255,0.0006525031182539629,3,0.8906530043711244,0.04856202154046517,0.9534805140484282,0.05545432339359017,10,cuda,True,20,True,True,False,4,10,True,False
28,completed,0.5404640674446652,0.29579423627041235,0.7028391598865328,0.4882756287101426,,640,32,SGD,0.001627932385270764,0.9333231864710887,0.0002714821041988686,3,0.9443012044088522,0.09660334277444536,0.7964179936311253,0.1135279343765279,10,cuda,True,20,True,True,False,4,10,True,False
42,completed,0.5392208389212123,0.2963127239477613,0.6974807982933007,0.48752249660133495,,640,32,SGD,0.002337381510721718,0.9450100644921955,0.00019266340472842637,3,0.7303835887961108,0.09966707178167371,0.8043709800284085,0.040321222631828094,10,cuda,True,20,True,True,False,4,10,True,False
20,completed,0.5384993032441202,0.2958963867156365,0.701529038573143,0.48373448628116467,,640,32,SGD,0.0024212370294819457,0.9574695168766558,0.0006984056680143364,3,0.8664829662356952,0.008684766238164138,0.7814635097735192,0.10989750445614965,10,cuda,True,20,True,True,False,4,10,True,False
9,completed,0.5378581398644396,0.2949293335008173,0.5918911085577988,0.4953511795011886,,768,16,AdamW,0.00034695916603302916,0.8632062309433212,2.8567374298471872e-05,1,0.8681066446651219,0.08607305832563435,0.5034760652655954,0.10214946051551316,10,cuda,True,20,True,True,False,4,10,True,False
10,completed,0.5362387450004505,0.2920946292720966,0.7132533297458826,0.474998430268898,,640,32,AdamW,0.00012019462074072741,0.8751994424704447,0.0008564246077898465,3,0.8300113009765738,0.01867742913680949,0.5719899949745945,0.14260259077459436,10,cuda,True,20,True,True,False,4,10,True,False
3,completed,0.5359757978026949,0.2909093919008841,0.7322958105472411,0.4670307361605608,,640,32,AdamW,0.00027520696850790545,0.9295026741224778,4.201672054372529e-05,2,0.7460196257044758,0.018485445552552705,0.9847923138822793,0.15502656467222292,10,cuda,True,20,True,True,False,4,10,True,False
23,completed,0.5327752454011696,0.2883849680158872,0.6604146571653955,0.4805005048899259,,768,16,Adam,0.0006116831514818585,0.9696769363613468,0.0002289364558194648,2,0.8551714978710967,0.04481983402805398,0.8766924169757053,0.07669470872978726,10,cuda,True,20,True,True,False,4,10,True,False
8,completed,0.5305928119075056,0.2887548495064679,0.628977444599809,0.4837303037782973,,640,32,Adam,0.00013514082247401428,0.8847701743496521,2.101079931010355e-05,3,0.8636541708039875,0.06334037565104235,0.9357302950938589,0.16073441537982291,10,cuda,True,20,True,True,False,4,10,True,False
4,completed,0.5256903754988943,0.28786056482402667,0.6189706780187135,0.48167672136742007,,640,32,Adam,0.000215262809722153,0.8554272746692645,4.473636174621264e-05,1,0.6221070642982531,0.08287375091519295,0.6783766633467947,0.05618690193747616,10,cuda,True,20,True,True,False,4,10,True,False
44,completed,0.5253172698323794,0.28401206807443335,0.6641075509904752,0.4645935991239571,,768,16,AdamW,0.0006783170680312678,0.9546451043730714,1.9359207197365895e-05,2,0.7755970810010677,0.07397029920030611,0.6304719814563143,0.06772327784620738,10,cuda,True,20,True,True,False,4,10,True,False
7,completed,0.5169741010042161,0.28153754425834776,0.6058086457540667,0.48273373738156755,,768,16,Adam,0.0007728716861851782,0.9013049222030259,1.1241862095793047e-05,0,0.5141431335590304,0.06364104112637804,0.6571779905381634,0.10171413823294057,10,cuda,True,20,True,True,False,4,10,True,False
